,Accuracy (%),F1 (%),ROC-AUC,PR-AUC,FP,FN,Best CV AUC,Time
XGBoost,93.6511,94.3102,0.977008,0.973847,7840,2830,0.98907,95.1s
LightGBM,93.6862,94.3417,0.976427,0.973126,7810,2801,0.990014,73.0s
